title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Madagascar,movie,"Adventure, Animation, Comedy",2005,tt0351283,6.9,455906.0
Mission: Impossible,movie,"Action, Adventure, Thriller",1996,tt0117060,7.2,486031.0
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000,tt0120755,6.1,389596.0
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006,tt0317919,6.9,402187.0
Seven Years in Tibet,movie,"Adventure, Biography, Drama",1997,tt0120102,7.1,161160.0
Irreversible,movie,"Crime, Drama, Mystery",2002,tt0290673,7.3,154276.0
Adam's Apples,movie,"Comedy, Crime, Drama",2005,tt0418455,7.7,56556.0
Whale Rider,movie,"Drama, Family",2002,tt0298228,7.5,44722.0
Point Break,movie,"Action, Crime, Thriller",1991,tt0102685,7.3,212486.0
The Thirteenth Floor,movie,"Mystery, Sci-Fi, Thriller",1999,tt0139809,7.0,79631.0
The Prestige,movie,"Drama, Mystery, Sci-Fi",2006,tt0482571,8.5,1505395.0
Dreamgirls,movie,"Drama, Musical",2006,tt0443489,6.6,78757.0
Babel,movie,Drama,2006,tt0449467,7.5,323243.0
The Queen,movie,"Biography, Drama",2006,tt0436697,7.3,117520.0
The Talented Mr. Ripley,movie,"Crime, Drama, Thriller",1999,tt0134119,7.4,260089.0
The Remains of the Day,movie,"Drama, Romance",1993,tt0107943,7.8,88238.0
The Good Shepherd,movie,"Drama, History, Thriller",2006,tt0343737,6.7,110458.0
Ghost Rider,movie,"Action, Fantasy, Thriller",2007,tt0259324,5.3,259920.0
Letters from Iwo Jima,movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173310.0
"Don't Worry, I'm Fine",movie,Drama,2006,tt0485241,7.3,11527.0
The Host,movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,137804.0
Bridge to Terabithia,movie,"Drama, Family, Fantasy",2007,tt0398808,7.2,181216.0
Mr. Bean's Holiday,movie,"Comedy, Family",2007,tt0453451,6.4,137812.0
300,movie,"Action, Drama",2006,tt0416449,7.6,887585.0
TMNT,movie,"Action, Adventure, Animation",2007,tt0453556,6.2,70669.0
3-Iron,movie,"Crime, Drama, Romance",2004,tt0423866,7.9,59746.0
Bean,movie,"Adventure, Comedy, Family",1997,tt0118689,6.5,113483.0
"Torrente, the Dumb Arm of the Law",movie,"Comedy, Crime",1998,tt0120868,6.8,14112.0
